Timestamp,Email Address,Rank Rotations [Med-Surg],Rank Rotations [Peds],Rank Rotations [OB],Rank M/S Rotations [Kaiser Sunset (ICU) | Monday],Rank M/S Rotations [Cedars | Monday],Rank M/S Rotations [Kaiser Downey (ED) | Thursday],Rank Peds Rotations (first 8 weeks) [White Memorial | Thursday],Rank Peds Rotations (first 8 weeks) [Valley Presbyterian | Thursday],Rank Peds Rotations (first 8 weeks) [CHLA | Friday],Rank Peds Rotations (first 8 weeks) [CHLA | Saturday],Rank OB Rotations (2nd 8 weeks) [Huntington Memorial | Monday],Rank OB Rotations (2nd 8 weeks) [Kaiser Woodland Hills | Thursday],Rank OB Rotations (2nd 8 weeks) [Good Samaritan | Thursday],Rank OB Rotations (2nd 8 weeks) [Kaiser Downey | Friday],Any other comments and/or questions?
12/3/22 16:56,0,1st choice,2nd choice,3rd choice,2nd choice,3rd choice,1st choice,4th Choice,3rd choice,1st choice,2nd choice,4th choice,3rd choice,2nd choice,1st choice,
12/4/22 16:21,1,1st choice,2nd choice,3rd choice,2nd choice,1st choice,3rd choice,2nd choice,3rd choice,1st choice,4th Choice,3rd choice,4th choice,2nd choice,1st choice,
12/4/22 18:27,2,1st choice,2nd choice,3rd choice,2nd choice,3rd choice,1st choice,3rd choice,4th Choice,1st choice,2nd choice,1st choice,4th choice,3rd choice,2nd choice,
12/5/22 9:39,3,1st choice,2nd choice,3rd choice,2nd choice,1st choice,3rd choice,4th Choice,3rd choice,1st choice,2nd choice,3rd choice,2nd choice,4th choice,1st choice,Thank you for all the time and energy invested in developing this!
12/1/22 16:49,4,1st choice,3rd choice,2nd choice,2nd choice,3rd choice,1st choice,2nd choice,4th Choice,1st choice,3rd choice,1st choice,4th choice,3rd choice,2nd choice,
12/1/22 17:09,5,1st choice,3rd choice,2nd choice,2nd choice,3rd choice,1st choice,2nd choice,3rd choice,1st choice,4th Choice,1st choice,4th choice,2nd choice,3rd choice,
12/1/22 19:57,6,1st choice,3rd choice,2nd choice,1st choice,3rd choice,2nd choice,3rd choice,4th Choice,1st choice,2nd choice,3rd choice,4th choice,2nd choice,1st choice,"Can get to all but Cedars, Valley Presbyterian, and KP Woodland Hills by public transportation, hence those three are ranked last."
12/3/22 15:10,7,1st choice,3rd choice,2nd choice,3rd choice,2nd choice,1st choice,3rd choice,4th Choice,2nd choice,1st choice,2nd choice,3rd choice,1st choice,4th choice,Thank you :)
12/3/22 15:24,8,1st choice,3rd choice,2nd choice,3rd choice,2nd choice,1st choice,4th Choice,3rd choice,1st choice,2nd choice,2nd choice,3rd choice,4th choice,1st choice,TBHHH - I don't care where I end up for Peds at all or OB really just super duper want ED if possible. Also thanks SO much for doing this algorithm!! It rocks
12/4/22 21:45,9,1st choice,3rd choice,2nd choice,1st choice,2nd choice,3rd choice,1st choice,2nd choice,3rd choice,4th Choice,4th choice,1st choice,2nd choice,3rd choice,Thank you for working so hard on this for all of us!
12/4/22 23:28,10,1st choice,3rd choice,2nd choice,3rd choice,2nd choice,1st choice,3rd choice,4th Choice,1st choice,2nd choice,1st choice,4th choice,3rd choice,2nd choice,"Hi Algorithm, please don't make me drive to Downey 2x a week :,) thanks love you bye"
12/5/22 2:24,11,1st choice,3rd choice,2nd choice,3rd choice,2nd choice,1st choice,2nd choice,3rd choice,1st choice,4th Choice,1st choice,4th choice,2nd choice,3rd choice,"I do pt/pilates for my back injury saturday mornings so have a strong preference for non-saturday clinicals, as the only other day they run the class is wednesday mornings which won't work this semester due to our lecture schedule. Cedars would be my first choice if we were guaranteed to rotate through ICU/ED because I want to try both!"
12/5/22 7:38,12,1st choice,3rd choice,2nd choice,3rd choice,1st choice,2nd choice,1st choice,3rd choice,4th Choice,2nd choice,2nd choice,3rd choice,1st choice,4th choice,<3
12/5/22 11:18,13,1st choice,3rd choice,2nd choice,3rd choice,1st choice,2nd choice,4th Choice,3rd choice,2nd choice,1st choice,3rd choice,2nd choice,1st choice,4th choice,I'm interested in Cedars for opputunites to see more unique/complicated cases that my previous rotations did not offer.
12/1/22 17:00,14,2nd choice,1st choice,3rd choice,2nd choice,1st choice,3rd choice,4th Choice,3rd choice,2nd choice,1st choice,4th choice,3rd choice,2nd choice,1st choice,
12/2/22 12:56,15,2nd choice,1st choice,3rd choice,2nd choice,1st choice,3rd choice,3rd choice,4th Choice,1st choice,2nd choice,3rd choice,1st choice,2nd choice,4th choice,
12/4/22 13:54,16,2nd choice,1st choice,3rd choice,1st choice,2nd choice,3rd choice,4th Choice,3rd choice,1st choice,2nd choice,2nd choice,1st choice,3rd choice,4th choice,
12/1/22 18:11,17,2nd choice,3rd choice,1st choice,3rd choice,2nd choice,1st choice,3rd choice,4th Choice,1st choice,2nd choice,1st choice,4th choice,3rd choice,2nd choice,
12/4/22 22:45,18,2nd choice,3rd choice,1st choice,2nd choice,1st choice,3rd choice,3rd choice,4th Choice,2nd choice,1st choice,3rd choice,4th choice,1st choice,2nd choice,
12/1/22 19:03,19,3rd choice,1st choice,2nd choice,3rd choice,2nd choice,1st choice,2nd choice,3rd choice,1st choice,4th Choice,1st choice,4th choice,3rd choice,2nd choice,
12/3/22 9:51,20,3rd choice,1st choice,2nd choice,2nd choice,1st choice,3rd choice,4th Choice,3rd choice,1st choice,2nd choice,2nd choice,3rd choice,1st choice,4th choice,
12/1/22 16:40,21,3rd choice,2nd choice,1st choice,2nd choice,1st choice,3rd choice,3rd choice,4th Choice,2nd choice,1st choice,2nd choice,4th choice,1st choice,3rd choice,
12/3/22 1:30,22,3rd choice,2nd choice,1st choice,3rd choice,1st choice,2nd choice,3rd choice,4th Choice,1st choice,2nd choice,2nd choice,4th choice,3rd choice,1st choice,"Thank you for all the time that you put into organizing and developing all of this! I also appreciate y'all for being so communicative and keeping us in the loop! 

P.S. I'm sure this is probably noted somewhere, but I was at Kaiser Downey during the summer semester and for onboarding, if it is possible, it would be less stressful to start the process ASAP since there were a number of modules we had to do (and we sadly were informed about them with less than a week before the deadline). However, I am aware that this will be up to the instructor so just wanted to put it out there 🥰"
12/5/22 0:12,23,3rd choice,2nd choice,1st choice,2nd choice,3rd choice,1st choice,3rd choice,4th Choice,1st choice,2nd choice,1st choice,4th choice,2nd choice,3rd choice,
12/5/22 11:26,24,3rd choice,1st choice,2nd choice,2nd choice,1st choice,3rd choice,4th Choice,3rd choice,1st choice,2nd choice,3rd choice,4th choice,2nd choice,1st choice,CHLA fridays or death
12/5/22 11:34,25,1st choice,2nd choice,3rd choice,1st choice,3rd choice,2nd choice,4th Choice,1st choice,3rd choice,2nd choice,2nd choice,3rd choice,1st choice,4th choice,
12/5/22 11:44,26,1st choice,2nd choice,3rd choice,2nd choice,1st choice,3rd choice,3rd choice,1st choice,2nd choice,4th Choice,2nd choice,4th choice,3rd choice,1st choice,"Thanks everyone for putting all of this together! As a side note, my main goal for Spring rotation is Cedars Med Surge. Haven't been there yet. The other rotations I'm not too concerned about as long as I get Cedars, especially OB. Thanks!"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
